Title,Directions,Quantity,Ingredient,Unit01,Quantity02,Unit02,Quantity03,Unit03,Quantity04,Unit04,Quantity05,Unit05,Quantity06,Unit06,Quantity07,Unit07,Quantity08,Unit08,Quantity09,Unit09,Quantity10,Unit10,Quantity11,Unit11,Quantity12,Unit12,Quantity13,Unit13,Quantity14,Unit14,Ingredient14,Quantity15,Unit15,Quantity16,Unit16,Quantity17,Unit17,Quantity18,Unit18,Quantity19,Unit19,Category
Banana Cake,Bake in three layer pans at 350 degrees.,02-Jan,"shortening,sugar,sour milk,soda water,flour,baking powder,chopped nuts",cup,1 1/2,cups,2,eggs,pinch,salt,02-Jan,cup,1,tsp,1 3/4,cups,1 1/2,tsp,02-Jan,cup,,,,,,,,,,,,,,,,,,,,,,Cakes
Blueberry Coffee Cake,"Mix butter, 1 cup sugar, flour, 2 eggs, 2 tsp vanilla, baking powder, and milk to make cake batter. Blend easily.  Add 3 cups of blueberries.  Put 2 1/2 cups of batter in pan.

Mix cream cheese, 1/2 cup sugar, 1 egg, lemon juice and 1 tsp vanilla to make filling.  Put filling on top of batter.  Top with remaining batter.

Make streusel topping from flour, butter, brown sugar, ad cinnamon.  Sprinkle on top of cake.

Bake at 375 degrees for 1 hour and 5 minutes.  Check after 50 minutes.",12,"cream cheese,sugar,eggs,lemon juice,vanilla,butter,flour,baking powder,milk,blueberries",ounces,1 1/2,cups,3,,1,tbps,3,tsp,04-Jan,cup,4,cups,1,tbsp + 1 tsp,1,cup,3,cups,,,,,,,,,,,,,,,,,,,,Cakes
Chocolate Cake,Mix all ingredients together.  Pour in 1 cup boiling water.  Mix well.  Bake about 35 minutes at 375 degrees.,02-Jan,"margarine,sugar,eggs,cocoa,salt,sour milk,baking soda,flour,cloves,vanilla",cup,2,cups,2,,5,tbsp,02-Jan,tsp,02-Jan,cup,2,tsp,2,cups,02-Jan,tsp,1,tsp,,,,,,,,,,,,,,,,,,,,Cakes
Chocolate Mayonaise Cake,Makes  2 layer cake.,3,"flour,sugar,cocoa,baking powder,baking soda,Best Foods Mayonnaise,water,vanilla",cups,1 1/2,cups,03-Jan,cup,2 1/4,tsp,1 1/2,tsp,1 1/2,cups,1 1/2,cups,1 1/2,tsp,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Crazy Cake,"Mix first 5 ingredients well, about 4 minutes.  Bake at 350 degrees in a 9x13 pan for 35 minutes. Poke holes in warm cake and pour on mixture of powdered sugar and lemon juice.",1,"lemon cake mix,water,lemon jello,vegetable oil,eggs,powdered sugar,lemon juice",box,04-Mar,cup,1,small pkg,04-Mar,cup,4,,2,cups,02-Jan,cups,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Fresh Apple Cake,"Mix apples and sugar well.  Add oil, nuts, and eggs.  Add vanilla and dry ingredients.  Bake at 350 degrees for 40-45 minutes.  Serve with whipped cream or top with cream cheese frosting.",4,"diced apples,sugar,chopped nuts,eggs, well beaten,vanilla,flour,baking powder,cinnamon,vegetable oil,baking soda,salt",cups,2,cups,1,cups,2,,2,tsp,2,cups,2,tsp,2,tsp,02-Jan,cups,1,tsp,1,tsp,,,,,,,,,,,,,,,,,,Cakes
Fresh Pear Cake,"Butter and flour a 9 inch round pan.  Peel and slice pears.  Blend eggs, sugar, milk, and salt.  Add flour, mix well.  Fold 1/2 of pears into batter.  Pour into pan, fan remaining pears on top.  Dot with butter.  Bake at 350 degrees about 55 minutes.  Sprinkle with powdered sugar.",2,"butter,flour,pears,eggs,sugar,milk,salt,powdered sugar",tbps,1 1/2,cups,3,,2,,1,cup,02-Jan,cup,08-Jan,tsp,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Graham Cracker Cake,"Cream butter and sugar.  Add crushed crackers, sour milk, and soda.  Stir in nuts.  Bake in 10 inch square baking pan.  Bake in 350 degree oven for 30-35 minutes.  Serve with whipped cream or thin powdered sugar icing.",02-Jan,"butter,sugar,sour milk,graham crackers, crushed,baking soda,chopped nuts",cup,1,cup,1,cup,32,,1,tsp,1,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Hot Water Chocolate Cake,Mix all ingredients together.  Pour in 1 cup boiling water. Mix well.  Bake about 35 minutes at 375 degrees.,02-Jan,"margarine,sugar,eggs,cocoa,salt,sour milk,baking soda,flour,cloves,vanilla",cup,2,cups,2,,5,tbsp,02-Jan,tsp,02-Jan,cup,2,tsp,2,cup,02-Jan,tsp,1,tsp,,,,,,,,,,,,,,,,,,,,Cakes
Hungry Bear Cheese Cake,"Combine first 5 ingredients to make crust.  Save 1/4 cup for top.  Press remaining crumbs evenly over bottom and about 2 inches up sides of a 9 inch spring form pan.  Prepare filling:  beat cream cheese and cottage cheese until smooth.  Add eggs, one at a time, bating well. Blend in lemon juice and vanilla.  Mix sugar, flour and salt.  Add to cheese mixture.  Pour into crust.  Bake at 350 degrees until set, about 35 to 40 minutes.  Combine topping ingredients (sour cream, sugar, vanilla, and salt).  Spread evenly over hot cheese cake.  Return to oven until cream sets, about 5 minutes.  Cool in pan on rack.  Sprinkle reserved crumbs around edge of cake.",04-Jan,"wheat germ, optional,graham cracker crumbs,sugar,cinnamon,melted butter,sour cream,sugar,vanilla,salt,cream cheese,cottage cheese,eggs,lemon juice,sugar,flour,flour,salt",cup,1 3/4,cup,3,tbsp,1,tsp,03-Jan,cup,02-Jan,pint,03-Jan,cup,1,tsp,08-Jan,tsp,8,ounces,02-Jan,pint,4,,1,tbsp,2,tsp,vanilla,03-Feb,cup,2,tbsp,2,tbsp,2001-04-12,tsp,,,Cakes
Lemon Poppy Cake,Mix all for 4 minutes.  Bake at 350 degrees for 40 minutes.,1,"lemon cake mix,eggs,lemon instant pudding,water,oil,poppy seeds",pkg,4,,1,small pkg,1,cup,02-Jan,cup,04-Jan,cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cakes
Light Old Fashioned Fruit Cake,"Sift dry ingredients into a 4 quart bowl.  Add fruit and nuts.  Mix until well coated.  Set aside.  Cream butter, gradually add sugar and cream until fluffy.  Add eggs one at a time, beating well after each.  Add brandy.  Combine with fruit mixture.  Mix well.  Turn into a 10 inch tube pan or four 1# coffee cans lined with foil, filling pans 2/3 full. Bake in slow oven, 275 degrees for 2 3/4 to 3 hours.  About 1/2 hour before done brush lightly with honey or light corn syrup.  Cool completely then wrap tightly in foil to store for several weeks.  Brush with brandy about once a week.",4,"sifted flour,baking powder,salt,cinnamon,nutmeg,whole pecans,canned pineapple, chopped,whole canned cherries,golden raisins,butter,sugar,eggs,brandy flavoring",cups,02-Jan,tsp,1 1/2,tsp,1 1/2,tsp,1,tsp,24,ounces,1 3/4,cups,1 3/4,cups,3 1/4,cups,1,cup,2 1/4,cups,6,,3,tbsp,,,,,,,,,,,,,,Cakes
My Best Gingerbread,Bake in greased pan for 35 minutes at 325-350 degrees.,02-Jan,"sugar,butter,egg,molasses,sifted flour,soda,cinnamon,ginger,cloves,salt,hot water",cup,02-Jan,cup,1,,1,cup,2 1/2,cups,1 1/2,tsp,1,tsp,1,tsp,02-Jan,tsp,02-Jan,tsp,1,cup,,,,,,,,,,,,,,,,,,Cakes
